,loss
108,0.17093177139759064
109,0.15918251872062683
110,0.16958630084991455
111,0.15998458862304688
112,0.18459567427635193
113,0.1681983768939972
114,0.1637967973947525
115,0.1588135063648224
116,0.16731464862823486
117,0.15972979366779327
118,0.17396634817123413
119,0.1755920648574829
120,0.17840762436389923
121,0.18417096138000488
122,0.17403575778007507
123,0.19623711705207825
124,0.1639680564403534
125,0.2093442976474762
126,0.1819988340139389
127,0.1656506061553955
128,0.16439855098724365
129,0.1777825504541397
130,0.17918477952480316
131,0.17925074696540833
132,0.1564081609249115
133,0.17125684022903442
134,0.17502173781394958
135,0.16292905807495117
136,0.16702011227607727
137,0.16825814545154572
138,0.1664702296257019
139,0.17417392134666443
140,0.17274954915046692
141,0.16673702001571655
142,0.19383582472801208
143,0.18038929998874664
144,0.16343659162521362
145,0.1501920074224472
146,0.18999913334846497
147,0.18653783202171326
148,0.18584609031677246
149,0.1468765139579773
150,0.18881049752235413
151,0.16503652930259705
152,0.17112822830677032
153,0.2007751762866974
154,0.164301335811615
155,0.168421670794487
156,0.18445181846618652
157,0.17319361865520477
158,0.1699097603559494
159,0.16766948997974396
160,0.16302849352359772
161,0.16080400347709656
162,0.17256927490234375
163,0.15843157470226288
164,0.18377305567264557
165,0.18893647193908691
166,0.17146778106689453
167,0.1580614447593689
168,0.15917620062828064
169,0.17325173318386078
170,0.19823342561721802
171,0.15677626430988312
172,0.16649886965751648
173,0.1526033580303192
174,0.1502847671508789
175,0.16022838652133942
176,0.16880449652671814
177,0.16338425874710083
178,0.1895105540752411
179,0.171121746301651
180,0.18033376336097717
181,0.17821675539016724
182,0.17414328455924988
183,0.15324470400810242
184,0.15880420804023743
185,0.1630832850933075
186,0.181541308760643
187,0.17218878865242004
188,0.18987277150154114
189,0.16675236821174622
190,0.1770540177822113
191,0.17608603835105896
192,0.16471455991268158
193,0.1772611439228058
194,0.15588951110839844
195,0.18103709816932678
196,0.16070018708705902
197,0.17136085033416748
198,0.16611966490745544
199,0.19667217135429382
200,0.16336384415626526
201,0.16717958450317383
202,0.18519455194473267
203,0.15070217847824097
204,0.19083766639232635
205,0.1573430299758911
206,0.16951118409633636
207,0.17509329319000244
208,0.17918115854263306
209,0.17543244361877441
210,0.19864892959594727
211,0.17521369457244873
212,0.1728278398513794
213,0.1670367270708084
214,0.16329747438430786
215,0.17034849524497986
216,0.19923028349876404
217,0.18898628652095795
218,0.18998856842517853
219,0.15558093786239624
220,0.1546558141708374
221,0.19053319096565247
222,0.16786928474903107
223,0.17339560389518738
224,0.18111318349838257
225,0.1533624529838562
226,0.1628834754228592
227,0.18134135007858276
228,0.1622149795293808
229,0.20526669919490814
230,0.17898669838905334
231,0.1719924956560135
232,0.17728522419929504
233,0.18875348567962646
234,0.17935356497764587
235,0.17453213036060333
236,0.15818896889686584
237,0.16193564236164093
238,0.19166257977485657
239,0.18477723002433777
240,0.17828676104545593
241,0.14947596192359924
242,0.1647154688835144
243,0.1750093400478363
244,0.16733959317207336
245,0.1905549168586731
246,0.16317880153656006
247,0.20621803402900696
248,0.16989076137542725
249,0.16312140226364136
250,0.17796079814434052
251,0.18123871088027954
252,0.17257776856422424
253,0.17418983578681946
254,0.1674841344356537
255,0.20084954798221588
256,0.18419581651687622
257,0.18019548058509827
258,0.15547429025173187
259,0.20429213345050812
260,0.1925441026687622
261,0.17521385848522186
262,0.17376525700092316
263,0.17411279678344727
264,0.18008843064308167
265,0.1729147732257843
266,0.16641709208488464
267,0.16883046925067902
268,0.17177605628967285
269,0.1779031902551651
270,0.17826512455940247
271,0.19759652018547058
272,0.1682930886745453
273,0.17026588320732117
274,0.17274968326091766
275,0.16737626492977142
276,0.1524071991443634
277,0.16190922260284424
278,0.200020432472229
279,0.19087007641792297
280,0.15639711916446686
281,0.19052964448928833
282,0.1780722737312317
283,0.15781892836093903
284,0.17843219637870789
285,0.1623537391424179
286,0.16333846747875214
287,0.1611776202917099
288,0.17042914032936096
289,0.1727026104927063
290,0.1564512848854065
291,0.1539786458015442
292,0.17522646486759186
293,0.1709267497062683
294,0.1850777268409729
295,0.20231683552265167
296,0.20122697949409485
297,0.1811387538909912
298,0.18761080503463745
299,0.19505147635936737
300,0.1723150908946991
301,0.17156895995140076
302,0.19361180067062378
